9273123	milou	COMPLETED	mattiri	b2010008	'KDUPP_98_113'	2016-12-06T11:36:14	02:32:49	node_type_overbooked:mem512GB:mem128GB	16	2.3	16	m130	/sw/share/slurm/milou/uppmax_jobstats/m130/9273123
9273118	milou	COMPLETED	mattiri	b2010008	'KDUPP_34_49'	2016-12-06T13:10:49	09:31:46	overbooked:62%,node_type_overbooked:mem512GB:mem128GB,cores_overbooked:16:10,mem_overbooked:504.7:1.6,core_mem_overbooked:315.4:1.6	16	1.6	16	m127	/sw/share/slurm/milou/uppmax_jobstats/m127/9273118
9286425	milou	COMPLETED	mattiri	b2010008	'KDUPP_130'	2016-12-06T13:25:19	00:27:20	.	1	0.4	1	m48	/sw/share/slurm/milou/uppmax_jobstats/m48/9286425
9273090	milou	TIMEOUT	mattiri	b2010008	'KDUPP_2_17'	2016-12-06T16:27:43	15:00:18	node_type_overbooked:mem512GB:mem128GB	16	3.2	16	m135	/sw/share/slurm/milou/uppmax_jobstats/m135/9273090
9273117	milou	TIMEOUT	mattiri	b2010008	'KDUPP_18_33'	2016-12-06T18:23:23	15:00:25	node_type_overbooked:mem512GB:mem128GB	16	4.0	16	m124	/sw/share/slurm/milou/uppmax_jobstats/m124/9273117
9273120	milou	COMPLETED	mattiri	b2010008	'KDUPP_50_65'	2016-12-06T18:37:17	12:58:09	overbooked:69%,node_type_overbooked:mem512GB:mem128GB,cores_overbooked:16:11,mem_overbooked:504.7:1.5,core_mem_overbooked:347:1.5	16	1.5	16	m134	/sw/share/slurm/milou/uppmax_jobstats/m134/9273120
9273121	milou	TIMEOUT	mattiri	b2010008	'KDUPP_66_81'	2016-12-06T22:37:38	15:00:30	node_type_overbooked:mem512GB:mem128GB	16	2.3	16	m128	/sw/share/slurm/milou/uppmax_jobstats/m128/9273121
9273122	milou	TIMEOUT	mattiri	b2010008	'KDUPP_82_97'	2016-12-06T22:49:35	15:00:28	node_type_overbooked:mem256GB:mem128GB	16	2.8	16	m139	/sw/share/slurm/milou/uppmax_jobstats/m139/9273122
9273124	milou	TIMEOUT	mattiri	b2010008	'KDUPP_114_129'	2016-12-07T01:58:34	15:00:12	overbooked:75%,node_type_overbooked:mem512GB:mem128GB,cores_overbooked:16:12,mem_overbooked:504.7:2,core_mem_overbooked:378.5:2	16	2.0	16	m137	/sw/share/slurm/milou/uppmax_jobstats/m137/9273124
9315878	milou	CANCELLED	connys	b2010008	'OSD1_dat_build'	.	00:00:00	not_run	0	.	.	.
9355505	milou	COMPLETED	alneberg	b2010008	'snakemake_bowtie2_rpkm_gene_table'	2016-12-19T11:18:38	00:01:04	.	4	0.0	.	m204	.
9355509	milou	COMPLETED	alneberg	b2010008	'snakemake_bowtie2_rpkm_gene_table'	2016-12-19T11:19:33	00:00:30	.	4	0.0	.	m11	.
9355507	milou	COMPLETED	alneberg	b2010008	'snakemake_bowtie2_rpkm_gene_table'	2016-12-19T11:20:29	00:01:26	.	4	1.4	.	m11	.
